"Date","Open","High","Low","Close"
"23 May 2022","7754.05","7794.75","7688.60","7700.70"
"20 May 2022","7656.25","7740.60","7645.15","7734.30"
"19 May 2022","7582.60","7614.15","7525.70","7542.45"
"18 May 2022","7785.50","7827.40","7733.50","7745.90"
"17 May 2022","7594.75","7759.90","7586.15","7749.65"
"16 May 2022","7533.55","7591.90","7474.25","7551.15"
"13 May 2022","7576.15","7642.60","7474.70","7494.85"
"12 May 2022","7595.35","7603.05","7446.65","7488.65"
"11 May 2022","7728.40","7762.50","7556.80","7659.60"
"10 May 2022","7769.00","7833.30","7692.20","7710.55"
"09 May 2022","7797.60","7843.20","7727.05","7789.50"
"06 May 2022","7884.45","7909.45","7835.30","7876.25"
"05 May 2022","8098.35","8133.40","7999.50","8016.15"
"04 May 2022","8226.50","8241.70","7987.15","8015.30"
"02 May 2022","8156.70","8213.70","8139.20","8205.65"
"29 Apr 2022","8348.10","8359.30","8210.15","8232.30"
"28 Apr 2022","8291.85","8333.05","8223.85","8304.70"
"27 Apr 2022","8242.45","8258.35","8175.80","8219.35"
"26 Apr 2022","8256.25","8307.70","8236.95","8298.30"
"25 Apr 2022","8223.90","8228.90","8147.00","8174.80"
"22 Apr 2022","8327.40","8366.55","8288.55","8299.50"
"21 Apr 2022","8326.35","8393.20","8317.35","8385.70"
"20 Apr 2022","8248.80","8303.05","8216.50","8272.05"
"19 Apr 2022","8363.00","8380.00","8142.65","8203.75"
"18 Apr 2022","8323.85","8339.65","8256.40","8314.30"
"13 Apr 2022","8485.85","8511.60","8424.45","8430.95"
"12 Apr 2022","8510.10","8510.90","8395.15","8443.60"
"11 Apr 2022","8540.10","8567.75","8516.40","8533.75"
"08 Apr 2022","8501.25","8565.45","8464.30","8541.40"
"07 Apr 2022","8513.55","8552.25","8452.50","8461.55"
"06 Apr 2022","8523.90","8564.55","8510.50","8531.70"
"05 Apr 2022","8584.80","8611.40","8544.70","8563.25"
"04 Apr 2022","8450.10","8561.35","8445.90","8556.40"
"01 Apr 2022","8279.10","8404.10","8275.05","8390.95"
"31 Mar 2022","8298.25","8319.55","8268.50","8280.90"
"30 Mar 2022","8271.95","8297.15","8241.25","8281.60"
"29 Mar 2022","8196.00","8211.40","8166.10","8205.55"
"28 Mar 2022","8166.30","8171.10","8070.10","8157.75"
"25 Mar 2022","8210.45","8212.85","8113.70","8147.05"
"24 Mar 2022","8119.80","8200.05","8118.15","8174.25"
"23 Mar 2022","8234.50","8250.05","8153.90","8172.40"
"22 Mar 2022","8128.30","8196.25","8061.40","8188.55"
"21 Mar 2022","8215.85","8225.00","8115.55","8121.90"
"17 Mar 2022","8157.35","8206.15","8144.95","8186.35"
"16 Mar 2022","8005.30","8059.70","7992.80","8054.25"
"15 Mar 2022","8015.35","8029.30","7859.90","7907.00"
"14 Mar 2022","7927.85","8004.35","7893.55","7995.80"
"11 Mar 2022","7868.95","7937.65","7843.30","7920.40"
"10 Mar 2022","7961.40","7964.55","7832.50","7892.05"
"09 Mar 2022","7668.30","7808.10","7633.25","7776.10"
"08 Mar 2022","7510.95","7630.50","7466.50","7623.10"
"07 Mar 2022","7561.15","7584.50","7473.50","7543.00"
"04 Mar 2022","7797.15","7827.50","7691.25","7726.60"
"03 Mar 2022","7966.6","7987.75","7838.1","7860.95"
"02 Mar 2022","7872.6","7931.85","7842.55","7894.75"
"28 Feb 2022","7808.65","7960.2","7742.1","7953.05"
"25 Feb 2022","7790","7918.75","7784.6","7885.65"
"24 Feb 2022","7812.1","7881","7639.4","7654.70"
"23 Feb 2022","8102.75","8131.65","8050.50","8064.10"
"22 Feb 2022","7930.25","8072.75","7929.20","8051.15"
"21 Feb 2022","8140.95","8191.40","8060.90","8114.40"
"18 Feb 2022","8182.65","8240.15","8171.90","8181.60"
"17 Feb 2022","8265.15","8286.80","8191.30","8216.40"
"16 Feb 2022","8274.50","8308.80","8209.05","8227.45"
"15 Feb 2022","8048.80","8243.25","7979.60","8233.80"
"14 Feb 2022","8127.50","8145.65","7994.35","8010.85"
"11 Feb 2022","8340.80","8341.70","8270.60","8286.40"
"10 Feb 2022","8395.35","8422.35","8332.80","8409.70"
"09 Feb 2022","8317.85","8363.05","8306.95","8357.55"
"08 Feb 2022","8311.70","8327.85","8176.50","8270.00"
"07 Feb 2022","8388.10","8422.35","8239.75","8280.65"
"04 Feb 2022","8440.05","8456.60","8378.65","8398.60"
"03 Feb 2022","8509.70","8513.70","8407.05","8426.15"
"02 Feb 2022","8468.85","8517.35","8460.00","8511.20"
"01 Feb 2022","8388.45","8423.90","8264.45","8411.60"
"31 Jan 2022","8291.65","8334.75","8269.65","8304.15"
"28 Jan 2022","8223.05","8323.00","8183.90","8195.65"
"27 Jan 2022","8164.70","8202.00","8065.00","8170.75"
"25 Jan 2022","8110.10","8264.55","8016.20","8253.15"
"24 Jan 2022","8436.15","8441.75","8110.20","8185.30"
"21 Jan 2022","8493.00","8516.85","8388.10","8450.15"
"20 Jan 2022","8607.55","8621.10","8507.50","8552.40"
"19 Jan 2022","8670.00","8670.00","8572.30","8611.55"
"18 Jan 2022","8805.20","8813.25","8651.80","8666.35"
"17 Jan 2022","8755.20","8790.90","8747.95","8783.10"
"14 Jan 2022","8717.20","8766.75","8690.40","8753.40"
